	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000164325	0	0	0	0	0	0	0	0	0
ENSG00000164326	0	0	0	0	0	0	0	0	0
ENSG00000164327	151.999706	232.0011	206.00036	218.99962	190	225.0003668	168.00019	232.99983632	201.9998
ENSG00000164329	157.000115	208.99994	183.00009	181.00004	178.99993	171.99988	131.99999	192.00001	205.73268
ENSG00000164330	2.999996	0	2	1	0	1	2.320497	2	1
ENSG00000164331	46.99997	62.000026	48.999961	47.00003	48.99999	48.00005	44.00001	47.99998	64.99996
ENSG00000164332	197	206	199	188	196	191	182	224	186
ENSG00000164334	0	0	0	0	0	1	0	0	0
ENSG00000164338	108.9999	124	95.00003029	143.99996	131	98.00003	112.00002	140.9999	171.00016
ENSG00000164342	14.000005289	16.999993764	30.999959971	29.99999584	17.99998	30.034307927	12.9999958473	22.002872193	24.999995851
ENSG00000164344	0	0	0	0	1	0	0	0	0
ENSG00000164346	343.726	385.54151	411.26361	444.59777	459.0567165	422.64499	376.433732	453.09933	500.596573029578
ENSG00000164347	148.00029	194.34559	177.90938	177.99996	194.00013	192.99978	157.926991	210.9997	223.95915
ENSG00000164362	0	0	0	0	0	0	0	0	0
ENSG00000164363	0	0	0	0	0	0	0	0	0
ENSG00000164366	170	200	208	227	211	223	174.808	258	219.095
ENSG00000164379	20	28	18	20	19	34	12	13	20
ENSG00000164393	1	4	7	3	4	1	1	1	2
ENSG00000164398	0	2.00432	0	1	0	0	0	2.07475	0
ENSG00000164399	0	0	0	0	0	0	0	0	0
ENSG00000164400	1	11	3	6	3	3	7	15	12
ENSG00000164402	784.9997	1021.1427609495	863.359580824347	855.16838	860.999773169104	805.5427	827.72035	852.731036	1005.96376939258
ENSG00000164403	41.000008	63.0081	48.99998	64.99988	50.0028	48.00001	60.0053	49.02762	69.0257
ENSG00000164404	0	1	0	1	3	2	1	2	3
ENSG00000164405	267.000367	226.99977	297.06936	307.00018	380.9887	305.9503	278.00026	347.115	361
ENSG00000164406	2	1	2	1.00074	1	2	2	0	0
ENSG00000164411	1	0	0	0	0	0	0	0	0
ENSG00000164414	58.32398	46.93393	44.59725	68.25088	58.4536	53.00004	42.31009	67.25299	63.23214
ENSG00000164418	96.00014	114.00002	102.99992795888	116.0000609652	100	111.00128457	101.999947	128.00716	124.004256961
ENSG00000164430	18.99997	33.09119	20.0083	22.99997	18.02389	23	15.05096	25	25.00237
ENSG00000164434	1	0	1	0	0	0	1	1	0
ENSG00000164438	0	0	0	0	0	0	0	0	0
ENSG00000164440	1	1	2	3	3	0	4	2	2
ENSG00000164442	724.9999	644.9995650921	793.00021466	905.9996361	870.0002	978.999568216	631.0003	1060.004225011	851.0004
ENSG00000164451	0	0	1	0	3	1	1	1	1.999995
ENSG00000164458	0	0	0	0	0	0	0	0	0
ENSG00000164463	36.7184	49.00139	44.00003	65.02867	49.000024	69.00454	31.00603	56.00001	51.99999
ENSG00000164465	573.00037	830.99952	759.99979	754.99952	686.00163	633.01714	684.99989	750.0649	778.00025
ENSG00000164466	298.34035	362.30388	369.999538	354.54512	317.99957	366.82234	313.000502	399.37274	417.00004
ENSG00000164483	11	13	7	15.000004	14	12	10.000004	9	14
ENSG00000164484	463.0003	554.9998	580.99991	616.99984	603.9999	546.99973	472	607.99999	639.00001
ENSG00000164485	0	0	0	0	0	0	0	0	0
ENSG00000164488	0	0	0	0	0	0	0	0	0
ENSG00000164494	62	76	60.00003	74.99998	74.0501	62.00002	49.999963	79.0156	82.04107
ENSG00000164500	0	0	0	0	0	0	0	0	0
ENSG00000164506	207.08959	263.0001	228.54867	233.999925513	262.05902	223.59423472	235.6652	260.15346	256.00195
ENSG00000164508	0	0	0	0	0	0	0	0	0
ENSG00000164509	41.99997	51.00002	53.00003	46.00003	42.00002	38.999992	40.030698353	64.99998	44.000021
ENSG00000164512	0	1	1	0	1	0	1	0	1
ENSG00000164520	0	1.00079	1.00057	3	1	0	0	1.00034	2.06911
ENSG00000164530	0	1	0	0	0	0	0	0	1
ENSG00000164532	8	9	10.000000604234	7	1	7	4.000003	9	6.000001
ENSG00000164535	98.00001	102.9999732372	131.03165	125.00041	133.9997211649	136.00001	128.33483	140.00006420557	160.0003
ENSG00000164542	40.00001	27.999959	40	39.99995	32.99999	47.99996	22.999962	46.999916	32.000046
ENSG00000164543	401.9999	456.0001	420.00024	478.99996	492.00016	502.9999	413.0002	469.9997	580.7617
ENSG00000164548	277.99964	322.0003	293.00044	325.0003	288.99996	293.00019	294.99989	311.00018	388.00009
ENSG00000164556	0	0	0	0	0	0	0	0	0
ENSG00000164574	1294.00466	1801.63193	1619.0013	1734.0045	1583.00284	1593.00249	1497.99709	1667.00004	1722.45768
ENSG00000164576	126.99964	121.99965	117.00047	144.00018	142.00036	117.99985	120.000067	148.00015	138.00044
ENSG00000164587	1448.81701	1721.56649	1748.00037	1946.93991	1754.85392	1794.7317	1676.59974	1976.56875	1986.76711
ENSG00000164588	0	0	0	0	0	0	0	0	0
ENSG00000164591	5	12	6.03282967	9.99999648	8	10.0000027	4	5.00614136	18.087
ENSG00000164597	172.12349	208.968	190.888282	182.163545	131.888451	155.28836	116.01678	141.52854	190.137
ENSG00000164600	0	0	0	0	0	0	0	0	0
ENSG00000164603	49.99996	53	64	39	63.00004	42	36.00003	63.00003	66
ENSG00000164604	10.0000002	11.28303	9.000002	6	13.99999	14	4.000002	9.999988	9.0000032
ENSG00000164609	216.999924	213.000150037853	227.000184	233.99955	227.9997	228.99988	203.99968	245.000466	255.846629
ENSG00000164610	68.72399	75.569	62.48399	83.0642	63.41724	70.729651056	50.989006	84.45059	71.75796
ENSG00000164611	146.00029	128.99998	134.00009	139.00014	137.99994	124.00042	111.00045	140.00044	165.99963
ENSG00000164615	140.18511	179.23219	169.60355	154.00157	163.41236	157.58525	160.00756	166.19684	215.6063
ENSG00000164616	0	0	0	0	0	0	0	0	0
ENSG00000164619	26.0000087	18.000001	28.000011	39.00004	32	25.9999822	36.999991	49.0000406	32.00001
ENSG00000164620	43.08675	38.01408	29.01142	39.39654	39.76341	39.43969	43.30251	47.271802	60.478311753
ENSG00000164626	0	0	0	0	0	0	0	0	0
ENSG00000164627	1.00184	1.00194	1.00706	0	1.00636	0	3.13357	0	2.00257
ENSG00000164631	114.9999	163.00015	130.99962	134.99996	150.99963	142.99968	119.99994	144	154.99996
ENSG00000164638	65.99996	109.08709	103.17257	112.00001	100.60745	90.017279	88.00692	105.904355	120.00313
ENSG00000164645	0	0	0	0	0	0	0	0	0
ENSG00000164647	5	8	11	10	9.63601	5	13.00001	10	7
ENSG00000164649	160.88349	193.87577	196.75954	211.9105256493	222.85847	191.95921	184.92371	214.84284	247.80766
ENSG00000164651	12	24	21	12	10	12	13	22	16
ENSG00000164654	114.99995	154.00002	147.00007	135.99996	133.00006	137.99999	174.00008	129.99999	146.99998
ENSG00000164659	53.99998	57.999956	69.999993186	69.9999530158351	70.99987	72.00002	60.999915	86.000045	66.999961
ENSG00000164663	24.98821	42.0912877005	26.776761359	31.58598	34.9394851364	52.44238	32.1647453932	44.157473532	39.479896887
ENSG00000164669	5.49717	4.86006	11.7962	4.35575	2.2287	10.8837	2.15574	2.16103	1.05563
ENSG00000164674	19	35	34.0000223993	33.00005	25	31.00003	25.0000087815	30.999979	29.000029
ENSG00000164675	1.0000002	2.0000037	3	0	0	3	0	2.9999997	4
ENSG00000164683	23.00002	15.999979	22.9999660607422	17	30	30	26.99998	22.999954	21.000033
ENSG00000164684	21.000049	30	22.999977	15	23	20.0000257	18.0000000490418	18.999971	17.000000874397
ENSG00000164687	273.99983	325.99991	304.00043	372.99964	359.99956	316.99989	275.00004	314.99995	359.99963
ENSG00000164690	10	11	11	5	13	15	11	10	8.999998
ENSG00000164691	0	0	0	0	0	0	0	0	0
ENSG00000164692	355.0001	456	420.00025	382.00038	405.99975	381.00035	370.0003	368.99984	449.00022
ENSG00000164694	2	8	2	1	1	3.000001	2	0	1
ENSG00000164695	17.9632	15.678	15.5653	19	21.4646	16.5804	18	16.6321	17
ENSG00000164707	6.000002	7	2.11541	1	1	3	1	0	2.0000034
ENSG00000164708	0	0	0	0	0	1	0	0	0
ENSG00000164713	569.51837	702.21925	685.68859	820.04379	829.00823	818.04104	799.02652	869.76646	870.73566
ENSG00000164715	202	220	200	208.986	219	239	187	217	246
ENSG00000164729	0	0	0	0	0	0	0	0	0
ENSG00000164733	1997.36494037935	2174.889753969	2357.07259614591	2369.32796273137	2279.57809977649	2399.21886133	2274.84133552463	2556.49485448949	2651.68446014535
ENSG00000164736	21	41	41	46	29	34	46	38	48
ENSG00000164740	0	0	0	0	0	0	0	0	0
ENSG00000164741	1262.75869	1602.88258	1437.69191	1596.71552	1468.69624	1364.50321	1244.04463	1574.02715	1494.87774
ENSG00000164742	6	5	5	8	8	6	8	20.00004	10
ENSG00000164743	12	9	16	20	24	15	13	8	18
ENSG00000164744	3	4.999999	3	4	5	1	1	8	10.99999522
ENSG00000164746	2	0	0	5.999996	3	0	1	1	0
ENSG00000164749	7	2	4	5	4	3	4	7	3
ENSG00000164751	100.0001	127.99999	105.99998	133.99998	122.99997	109.00002	87.003236	141.83171	118.75701802768
ENSG00000164754	741.999524619937	812.629230077357	849.0005021447	904.44571	863.99958	858.99957	697.99955	896.00007	911.9999138
ENSG00000164756	0	0	0	0	0	0	0	0	0
ENSG00000164758	24	20.000000116679	34.00004	26	22	32	24.00003	30	33.000014
ENSG00000164761	292.99989	364.99988	415.99986	437.99976	402.00026	379.0003	355.9998	423.9995	415.99972
ENSG00000164764	20.00347	19.3933	21.95714	25	36.99999	17.00335	22.0034	18.0029	26.4286
ENSG00000164776	4.28351	1.06551	1.04967	0	3.191663	0	1.07882	3.07248	1
ENSG00000164778	0	0	0	0	0	0	0	2	0
ENSG00000164794	1	4	2	1	2	2	2.37454	2	2
ENSG00000164796	2.62121	2	3	1	2	0	1.20956	0	1
ENSG00000164808	91.0000410317477	126.999922545555	112.99987	112.562531	103.00003	110.00002	93.999950395143	119.4067976	128
ENSG00000164815	65	67.99997	66.00003	91.00002	82.00004	68	67.99996	68	74.99999
ENSG00000164816	0	0	0	0	0	0	0	0	0
ENSG00000164818	319.969442	417.974410077424	392.9997	420.9996	434.8502	406.000162162	324.7713	456.99997	464.95384
ENSG00000164821	0	0	0	0	0	0	0	0	0
ENSG00000164822	0	0	0	0	0	0	0	0	0
ENSG00000164823	253.3934	309.26094	306.28374	295.49638	291.3032	269.25156	273.1904	280.3275	323.684
ENSG00000164825	0	0	0	0	0	0	0	0	0
ENSG00000164828	827.490035	998.76452	984.077455	1049.23721	951.46133	972.61374	875.9992412	1042.00046	1040.84686
ENSG00000164830	192.9999	188.9999799	245.99995	222.999873	240.99991	205.00001	172.00019	276.00000238	251.00009
ENSG00000164841	0	0	0	0	0	0	4	3	3
ENSG00000164845	1	1	0	0	0	0	1	0	0
ENSG00000164849	4	5	2	5	7	4	6	7	7
ENSG00000164850	15	11.999997	16	11.000033	21	21.99998	18	24.000047	23.000005
ENSG00000164853	0	0	0	0	0	0	0	0	0
ENSG00000164855	32.48231	38.25244	23.18345	27.495565	37.13793	30.43787	21.03209	41.73438	45.8674
ENSG00000164867	6.999997	10.0000093	11.90586	10.000003	15.00003	20.9999527638	15.000027	15.94643	14.99999
ENSG00000164871	0	0	0	0	0	0	0	0	0
ENSG00000164877	177.0000302	276.99989	201.00001	186.99999	193.999993111624	203.999477	215.99996	183.99999	296.00013
ENSG00000164879	2	5	8	1	4	9	4	5	10
ENSG00000164880	1253.99728	1520.99526	1343.99603	1488.99686	1470.9971	1608.99852	1426.00181	1711.99953	1751.99917
ENSG00000164885	68	84	96.00005	89.99997	94.00004	89.00004	84.00004	114.99973	107
ENSG00000164889	1214.99786	1552.9958	1543.99532	1539.003099	1525.9986	1554.00109	1432.99834	1651.99676	1805.00447
ENSG00000164893	0	0	0	0	0	0	0	0	0
ENSG00000164896	291.00023	293.99982	269.99976	315.0004887	321.99963	328.00049	334.000342	328.0002	355.99951
ENSG00000164897	194.00031	260.00013	248.9997	271.99958	247.00016	235.99962	207.9997	286.00005	304.00015
ENSG00000164898	32	29	44.39346	53.2786	33.21643	41.93089	38.34822	43.89696	46.01332
ENSG00000164900	0	0	0	0	0	0	1	0	0
ENSG00000164902	241.9997	261.2428	247.0002	264	253.00039	230.03396	249.0003	266.0452	289.99971
ENSG00000164904	343.7536622	365.2628849	389.183740031866	385.55616	329.000582137	386.001552956575	342.75879935	413.00050737	399.400580721769
ENSG00000164916	577.04357	772.36157	663.53098	692.0423	642.92968	646.37072	671.24215	721.14367	714.8271
ENSG00000164919	198.99991625051	219.00036	209.0488836864	261.00011412306	265.9993601729	245.00007	227.0081754176	266.99958974778	271.282030953
ENSG00000164920	9	7	5.0000008	3	8	5	6	6.000004	6
ENSG00000164924	5561.99506	6305.80297	6268.883803181	6495.99821	6363.00206	6071.99629	5531.00071	6595.00185	6790.39411
ENSG00000164929	6.9999978	7	4	2	12	10	5	10.9999993	6
ENSG00000164930	444.999902	497.99959	472.00001	473.99938	473.0002	443.99988	397.9997	533.00000653412	521.0001
ENSG00000164932	213.99957	253.00018	267.99956	230.0005	251.00008	240.99972	269.0001	241.00038	314.99976
ENSG00000164933	190.4713003	312.781109853	222.8240716136	245.246242	231.49981648607	236.30422	233.794701962	258.882720424976	266.42523
ENSG00000164934	221.61338	316.72224	294.97078	271.567461	306.636238	281.69643	241.31869	297.49273	324.5826
ENSG00000164935	0	1	0	0	0	0	0	0	0
ENSG00000164938	331	338	357	359	277.93	406	260.9998	357.972	352
ENSG00000164941	194.27462090386	180.7059941998	195.79495	201.65967	193.5795313	167.645045	165.87739	217.308198382515	203.3857885
ENSG00000164944	363.211	412.13298	421.00629	421.532958289	388.9997	384.000265	353.045537	367.00005	409.99952
ENSG00000164946	0	0	0	0	0	1	0	0	1
ENSG00000164949	62	65.00001	108.00004	77	72	71.00004	69.00002	67.99999	90.99992
ENSG00000164951	255.99993	275.99989	290.99951	290.00038	313.99995	288.00045969	255.00007	296.00025	317.99988
ENSG00000164953	36.085351	47.9999826137	43.99997	40.999972162466	38.015934678816	49.436139314	29.99999	39.004144674	55.0000240659276
ENSG00000164961	411.9999	464.999764683	525.00005	460.99993	457.00002	502.000125403368	407.000232	462.00017	525.99955
ENSG00000164967	34.00003	42	41.99999	38.99998	44	52.99998	55	46.99999	54
ENSG00000164970	245	320.9997	295.9997802069	271.9995093148	287.999694	300.0002	278.00014657	348.0004925	340.9998
ENSG00000164972	1	0	1	0	2	0	1	1	1
ENSG00000164975	229.00008	252.9993	251.99987001022	277.0003	278.99954	264.0002	265.0007	250.9998	283.9998
ENSG00000164976	110	165.961	103.848	135.368	126	135.912	154.944	149.54	138.874
ENSG00000164978	59.00003	70	85.00001	59.00004	63	73	57.00005	87.99995	76.00004
ENSG00000164983	315.9997	302.9998	355.2437	358.0001	292.9999	323.00015	251.00033	350.9999	351.82348
ENSG00000164985	358.52955	341.89517	336.000282	342.00037	348.91619	350.01854	281.95053	405.72701	453.00062
ENSG00000164989	4.000004	10	14.000001	4	5	9	11.999995	7	5
ENSG00000165006	393.99967	390.9996	398.99962	446.9999	409.0001	389.9996	353.9999	453.99977	461
ENSG00000165023	26	12.99998	25	32	45	39.00001	35.00004	35.00001	64.00654
ENSG00000165025	0	0.999999873	0	0	2.00000076	0	1.000000068159	0	0
ENSG00000165028	2	3.999999	6.000001	4	1	4	5.000004	4	5
ENSG00000165029	1127.00076	1444.99941	1292.001	1281.00327	1005.00007	1345.00344	1237.9964	1154	1331.99982
ENSG00000165030	96	123	110	129	107	128	98	133	146
ENSG00000165046	38	23.59052	35.1632	33.005067	45	33.00000273608	22.00001	35.00003310145	40.535334
ENSG00000165055	111.4284	121.60967	100.9777	103.50561	119.9798	105.88538	114.30342	107.73016	129.9359
ENSG00000165059	0	0	0	0	0	0	0	0	0
ENSG00000165060	61.63436	70.79442	69.69184	57.59131	75.53088	55.48839	69.78794	68.41572	78.68256
ENSG00000165061	5	3	3.000004	0	1	4	1	2.000003	3
ENSG00000165066	0	0	0	0	1	0	0	0	0
ENSG00000165071	3	0	0	0.999999977498	3	1	1.999996	3.000004	5.000006
ENSG00000165072	166.398	184.012	155.812	185.974	196.201	165.661	163.618	217.924412	202.069
ENSG00000165076	0	0	0	0	0	0	0	0	0
ENSG00000165078	0	0	1	0	0	0	0	0	1
ENSG00000165084	0	3	1.00122	3	1.00228	3	1	1.00163	2
ENSG00000165091	1	1.51713	1.11546	0	0	1	2.154976	0	0
ENSG00000165092	101	114.000007	101	116.99963	117	108	104.999894	122	132
ENSG00000165097	156.02959	164.99981	149.00016	144.9995	139.00007	143	126.97699	170.0002	146.03045
ENSG00000165102	479.99959	633.00218	610.93473	560.99995	597.99956	549.00041486	545.0955	627.19399	636.85761
ENSG00000165105	28	32.08015	32.30529	43.49837	27	24.78974	27.64672	25.00003	46.16701
ENSG00000165113	16.99997	5	8	11	6	9.99999	3	5	11
ENSG00000165115	20.99996	10	20.999969991	27.000029	12.99997	16.526378	13.00004	17.00002497	7
ENSG00000165118	53	47	66	81	62	83	48	66.99996	64.1447
ENSG00000165119	3075.00033021134	3437.00057427587	3499.99623	3607.00180007779	3694.9979900653	3513.99934234473	3224.0002601122	3748.00317005481	4077.9976682118
ENSG00000165120	0	0	0	0	0	0	0	0	0
ENSG00000165121	1	5	2	0	3	2.30214	2	4	4
ENSG00000165124	1.999996	8	9	5	8.000002753	4.000005	5	4	8.000001
ENSG00000165125	0	2	1	0	0	1.00589	0	0	0
ENSG00000165131	0	0	0	0	0	0	0	0	0
ENSG00000165138	152.99985	187.00049	199.999648	199.99999	181.000370156107	181.99972	149.99982	200.00031	219.00018
ENSG00000165140	1	0	4	1	0	1	0	4.99999673149	1
ENSG00000165152	38.00002	45	68.0000078087	42	55.99999	57.000000323111	33.00005	52	73
ENSG00000165156	133.00004	139.9999989	135	151.00003	155.00001	163.000018	133.0001	144.99999	140.99996
ENSG00000165164	0	0	0	0	0	0	0	0	0
ENSG00000165168	0	0	1	0	0	1	0	0	0
ENSG00000165169	236.00561	298.03177	294.0002	290.0002	253.99968	251.00032	247.00047	273	318.00044
ENSG00000165171	19	18	18	21.99998	28	23.99998	19.00001	19.00003	27.00003
ENSG00000165175	169	206.00001742	221.9999	228	213.9999	233.14482	205.9997	232	256.99981911
ENSG00000165178	0	2	2	2	0	0	0	0	0
ENSG00000165181	1	0	0.9999995272298	1	0	0	0	0	0
ENSG00000165182	0	0	0	0	0	0	0	0	0
ENSG00000165185	23.03354	31.89468	35.99996	31.0031	24.0013	33.00001	28.0595	32.99999	27.36569
ENSG00000165186	1	0	1.00347	0	1	1	4.03508	1.01122	2.00006
ENSG00000165188	0	0	0	0	1	0	0	0	0
ENSG00000165192	0	0	0	0	0	0	1	0	0
ENSG00000165194	0	1	0	1	0	0	1	1	0
ENSG00000165195	51.0303143795	52.9999496034	53.999978786	64.000071745	50.00003	59.00001	35.9999734626	47.999964881	57.019829
ENSG00000165197	0	0	0	0	0	0	0	0	0
ENSG00000165202	0	0	0	0	0	0	0	0	0
ENSG00000165204	0	0	0	0	0	0	0	1	0
ENSG00000165209	87	89	98	120.9999	117.0001	96	92.999997	126.00004	127
ENSG00000165215	2	2	5	3	3	2	2	3	3
ENSG00000165219	285.999979	355.01628	316.00046	305.99984	291.999733	286.000399303	271.11169	344.00707	313.999840138901
ENSG00000165233	126.99995	148.99992	128.04467	133.00005	147.00009	143	119.99996	148.00245	171.99999
ENSG00000165238	0	0	0	0	0	0	0	0	2
ENSG00000165240	105.01984384	130.00772	108.819787026921	93.9999874	96.99995638926	108.00706616905	105.0074754	126.021729684545	106.00655830398
ENSG00000165244	27	30	24	27	28	35	22	31	34
ENSG00000165246	0	2	0	0	0	0	1	0	0
ENSG00000165259	47	51.9999800380385	64.99997	51	44.0000300133026	44	33.00003	62.00002	57.00000881
ENSG00000165264	144.99979	132.0005	148.99968	153.99987	154.0005	159.99958	126	173.99974	158.99965
ENSG00000165269	1	1	1	1	0	1	0	2	1
ENSG00000165271	389.99973	522.0003	433.00009	417	488.9997	462.99957905	487.00018904	493.99967	539.99959
