"","SRR33467998","SRR33467999","SRR33468000","SRR33468001","SRR33468002","SRR33468003","SRR33468004","SRR33468005","SRR33468006"
"ENSG00000000003",141.135208260077,151.353267051014,149.660328173867,132.972478830386,129.904420195568,143.765727307357,120.857143231345,128.557683307328,157.210108742903
"ENSG00000000419",179.000751939609,159.267163367406,190.384226996687,183.443784663817,182.461170351027,199.893442762969,192.272727868049,182.735564129701,176.532021549293
"ENSG00000000457",51.6348322902719,49.4618519774554,46.832483646244,54.3537139744644,38.6738350200546,53.1736251684744,35.1584416673003,47.7499966570074,58.8440071830977
"ENSG00000000460",35.5706622444096,44.5156667797099,38.6877038816798,35.9122753045569,36.6905614292826,45.2960510694412,51.6389611988474,54.1778808223738,44.7917069602684
"ENSG00000000971",129.660801084461,101.891415073558,107.918331880475,95.1189994553127,108.088410697076,119.148308247878,95.5870132829728,79.8894174838393,97.4878327958784
"ENSG00000001036",480.77766065831,524.295630961028,520.247807461536,504.713058334313,540.442053485379,591.802754189873,579.015586208352,502.293234065059,541.891827342855
"ENSG00000001084",134.250563954707,136.514711457777,121.153598997892,107.736825913671,122.962962627866,123.087095297394,103.277922397695,116.620184143076,121.201089421903
"ENSG00000001167",386.687521818259,379.867023186858,398.076110993074,332.916498093595,362.939067111282,337.75098949605,353.78181927721,330.576899933128,375.899030960684
"ENSG00000001460",57.3720358780799,40.5587186215135,47.8505811168145,46.5888976923981,60.489844518547,52.1889284060953,43.9480520841254,53.2596116558929,46.5482444881221
"ENSG00000001461",253.584398581113,212.685963503058,238.234808113502,254.297733237673,265.758661163452,294.424331951368,206.555844795389,259.870174114098,233.619491204537
"ENSG00000001497",221.456058489389,231.481467254491,222.963346054944,226.150274215182,219.15173178031,220.572074772931,251.602598181618,238.749983285037,256.454479066635
"ENSG00000001561",6.88464430536959,16.8170296723348,21.3800468819809,14.5590305288744,18.8410991123343,12.801057910929,18.6779221357533,11.9374991642519,13.1740314589025
"ENSG00000001617",510.611119314911,500.553942011849,545.700244225799,542.566537709386,556.308242211555,593.772147714631,511.994806780061,546.370154056142,522.569914536465
"ENSG00000001629",462.418609177324,447.135141876197,414.365670522202,452.300548430365,391.696534177476,421.450214298279,368.06493620455,385.673049921983,390.82959994744
"ENSG00000001630",543.886900124198,549.026556949755,521.265904932107,502.771854263796,551.350058234625,505.149439100507,576.818183604146,582.182651548898,484.804357687611
"ENSG00000001631",137.692886107392,145.417844813719,115.045014174469,135.884284936161,138.829151354042,147.704514356873,110.968831512417,127.639414140847,125.592433241537
"ENSG00000002016",48.1925101375871,37.5910075028661,44.7962887051029,58.2361221154976,35.6989246338966,51.2042316437161,36.2571429694035,40.4038433251601,40.4003631406343
"ENSG00000002079",19.5064921985472,23.7416889491786,15.2714620585578,17.4708366346493,16.8578255215623,27.5715093466164,30.7636364588878,16.5288449966564,20.2001815703171
"ENSG00000002330",150.314734000569,158.277926327857,151.696523115008,151.413917500294,184.444443941799,194.969958951073,171.397403128089,184.572102462663,150.183958631488
"ENSG00000002549",299.482027283577,360.082282395876,424.546645227907,435.800313830974,365.91397749744,316.087660723709,360.374027089828,372.81728159125,338.13347411183
